fertilized eggs, alevins, fry, rainbow + resident masu, most sockeye, pink chum + some chinook, coho + some masu + steelhead + chinook + sockeye, resident subadults, lake juveniles, estuarine juveniles, stream parr, coastal juveniles, marine subadults, adults, spawned-out carcasses
fertilized eggs, alevins
alevins, fry
fry, rainbow + resident masu
fry, most sockeye
fry, pink chum + some chinook
fry, coho + some masu + steelhead + chinook + sockeye
rainbow + resident masu, resident subadults
most sockeye, lake juveniles
pink chum + some chinook, estuarine juveniles
coho + some masu + steelhead + chinook + sockeye, stream parr
resident subadults, adults
adults, resident subadults
lake juveniles, coastal juveniles
estuarine juveniles, coastal juveniles
stream parr, coastal juveniles
coastal juveniles, marine subadults
marine subadults, adults
adults, marine subadults
adults, spawned-out carcasses
adults, fertilized eggs
spawned-out carcasses, fry
